age;birth_year;age;genre;qt
00-09;2019;0;male;343009
00-09;2018;1;male;348625
00-09;2017;2;male;354653
00-09;2016;3;male;366334
00-09;2015;4;male;376914
00-09;2014;5;male;386296
00-09;2013;6;male;392050
00-09;2012;7;male;401732
00-09;2011;8;male;402835
00-09;2010;9;male;412838
10-19;2009;10;male;410032
10-19;2008;11;male;411597
10-19;2007;12;male;406858
10-19;2006;13;male;414061
10-19;2005;14;male;405934
10-19;2004;15;male;405931
10-19;2003;16;male;405172
10-19;2002;17;male;405928
10-19;2001;18;male;410971
10-19;2000;19;male;413039
20-29;1999;20;male;385174
20-29;1998;21;male;378431
20-29;1997;22;male;362439
20-29;1996;23;male;361955
20-29;1995;24;male;355295
20-29;1994;25;male;342352
20-29;1993;26;male;341633
20-29;1992;27;male;357896
20-29;1991;28;male;365673
20-29;1990;29;male;372975
30-39;1989;30;male;374707
30-39;1988;31;male;381048
30-39;1987;32;male;381465
30-39;1986;33;male;387899
30-39;1985;34;male;387605
30-39;1984;35;male;385570
30-39;1983;36;male;381346
30-39;1982;37;male;407499
30-39;1981;38;male;412747
30-39;1980;39;male;416388
40-49;1979;40;male;394108
40-49;1978;41;male;388028
40-49;1977;42;male;391294
40-49;1976;43;male;379839
40-49;1975;44;male;391868
40-49;1974;45;male;412378
40-49;1973;46;male;434096
40-49;1972;47;male;444605
40-49;1971;48;male;443829
40-49;1970;49;male;432474
50-59;1969;50;male;426108
50-59;1968;51;male;417907
50-59;1967;52;male;415661
50-59;1966;53;male;423456
50-59;1965;54;male;423518
50-59;1964;55;male;425801
50-59;1963;56;male;418490
50-59;1962;57;male;403297
50-59;1961;58;male;403826
50-59;1960;59;male;399017
60-69;1959;60;male;394588
60-69;1958;61;male;383965
60-69;1957;62;male;379174
60-69;1956;63;male;372832
60-69;1955;64;male;366738
60-69;1954;65;male;365441
60-69;1953;66;male;356556
60-69;1952;67;male;360307
60-69;1951;68;male;349332
60-69;1950;69;male;359146
70-79;1949;70;male;349715
70-79;1948;71;male;346870
70-79;1947;72;male;336923
70-79;1946;73;male;312823
70-79;1945;74;male;230356
70-79;1944;75;male;223057
70-79;1943;76;male;213383
70-79;1942;77;male;193464
70-79;1941;78;male;167480
70-79;1940;79;male;167830
80-++;1939;80;male;169863
80-++;1938;81;male;160080
80-++;1937;82;male;149818
80-++;1936;83;male;142329
80-++;1935;84;male;127502
80-++;1934;85;male;120384
80-++;1933;86;male;105362
80-++;1932;87;male;97075
80-++;1931;88;male;83871
80-++;1930;89;male;72164
80-++;1929;90;male;56594
80-++;1928;91;male;46243
80-++;1927;92;male;36254
80-++;1926;93;male;27800
80-++;1925;94;male;21847
80-++;1924;95;male;16026
80-++;1923;96;male;11291
80-++;1922;97;male;7584
80-++;1921;98;male;5389
80-++;1920;99;male;3517
80-++;1919;100;male;1216
80-++;1918;101;male;703
80-++;1917;102;male;367
80-++;1916;103;male;241
80-++;1915;104;male;212
80-++;1914;105;male;638
00-09;2019;0;female;329909
00-09;2018;1;female;333151
00-09;2017;2;female;340515
00-09;2016;3;female;350669
00-09;2015;4;female;360433
00-09;2014;5;female;374278
00-09;2013;6;female;375104
00-09;2012;7;female;381332
00-09;2011;8;female;386329
00-09;2010;9;female;395927
10-19;2009;10;female;390752
10-19;2008;11;female;392913
10-19;2007;12;female;389218
10-19;2006;13;female;396573
10-19;2005;14;female;386107
10-19;2004;15;female;386046
10-19;2003;16;female;385143
10-19;2002;17;female;383887
10-19;2001;18;female;387863
10-19;2000;19;female;389082
20-29;1999;20;female;366103
20-29;1998;21;female;363881
20-29;1997;22;female;351809
20-29;1996;23;female;356725
20-29;1995;24;female;354042
20-29;1994;25;female;344611
20-29;1993;26;female;345725
20-29;1992;27;female;364893
20-29;1991;28;female;373063
20-29;1990;29;female;384892
30-39;1989;30;female;393903
30-39;1988;31;female;399923
30-39;1987;32;female;402905
30-39;1986;33;female;411805
30-39;1985;34;female;410020
30-39;1984;35;female;407053
30-39;1983;36;female;402618
30-39;1982;37;female;426361
30-39;1981;38;female;430078
30-39;1980;39;female;434021
40-49;1979;40;female;410965
40-49;1978;41;female;400338
40-49;1977;42;female;399328
40-49;1976;43;female;389723
40-49;1975;44;female;399214
40-49;1974;45;female;419979
40-49;1973;46;female;443466
40-49;1972;47;female;452384
40-49;1971;48;female;448695
40-49;1970;49;female;439439
50-59;1969;50;female;434588
50-59;1968;51;female;430539
50-59;1967;52;female;428137
50-59;1966;53;female;438235
50-59;1965;54;female;440236
50-59;1964;55;female;446097
50-59;1963;56;female;440659
50-59;1962;57;female;425379
50-59;1961;58;female;427011
50-59;1960;59;female;426558
60-69;1959;60;female;425697
60-69;1958;61;female;418269
60-69;1957;62;female;415270
60-69;1956;63;female;412640
60-69;1955;64;female;410308
60-69;1954;65;female;407707
60-69;1953;66;female;398705
60-69;1952;67;female;404158
60-69;1951;68;female;393503
60-69;1950;69;female;406558
70-79;1949;70;female;400194
70-79;1948;71;female;397279
70-79;1947;72;female;387645
70-79;1946;73;female;366483
70-79;1945;74;female;275746
70-79;1944;75;female;268170
70-79;1943;76;female;259996
70-79;1942;77;female;239274
70-79;1941;78;female;212819
70-79;1940;79;female;220487
80-++;1939;80;female;230059
80-++;1938;81;female;222229
80-++;1937;82;female;215432
80-++;1936;83;female;212679
80-++;1935;84;female;202242
80-++;1934;85;female;199130
80-++;1933;86;female;183340
80-++;1932;87;female;178891
80-++;1931;88;female;162729
80-++;1930;89;female;150048
80-++;1929;90;female;126549
80-++;1928;91;female;111735
80-++;1927;92;female;94034
80-++;1926;93;female;80912
80-++;1925;94;female;65962
80-++;1924;95;female;52457
80-++;1923;96;female;41004
80-++;1922;97;female;31471
80-++;1921;98;female;23048
80-++;1920;99;female;16040
80-++;1919;100;female;6823
80-++;1918;101;female;3852
80-++;1917;102;female;2490
80-++;1916;103;female;1396
80-++;1915;104;female;946
80-++;1914;105;female;2060
